,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
0,dowdni01,2017-10-07,1,27-133,LAK,@,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,5:39,3,0,0,0,
0,mcavoch01,2017-10-05,1,19-288,BOS,,NSH,W,1,1,2,1,6,1,0,0,0,0,1,0,2,50.0,28,22:00,1,0,0,0,
0,brickco01,2017-10-06,1,25-223,FLA,@,TBL,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,13:06,2,1,0,0,
1,brickco01,2017-10-07,2,25-224,FLA,,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,12:16,0,1,0,0,
0,belesma01,2017-10-05,1,29-120,BOS,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:16,1,0,1,1,50.0
0,ericsjo01,2017-10-05,1,33-217,DET,,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:35,1,1,0,0,
1,ericsjo01,2017-10-07,2,33-219,DET,@,OTT,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,27,16:38,0,1,0,0,
0,oduyajo01,2017-10-05,1,36-004,OTT,,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:04,0,2,0,0,
0,larssad01,2017-10-04,1,24-326,EDM,,CGY,W,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,26,20:27,3,2,0,0,
1,larssad01,2017-10-07,2,24-329,EDM,@,VAN,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,28,24:25,3,0,0,0,
0,debrial01,2017-10-05,1,19-291,CHI,,PIT,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,22,17:38,4,0,0,0,
1,debrial01,2017-10-07,2,19-293,CHI,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,18:22,1,2,0,0,
0,jenseni02,2017-10-05,1,27-014,DET,,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,13:45,0,0,0,0,
1,jenseni02,2017-10-07,2,27-016,DET,@,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,16:15,0,0,0,0,
0,dorsede01,2017-10-07,1,30-291,VAN,,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,17:20,6,3,0,0,
0,sedlalu01,2017-10-06,1,24-223,CBJ,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:14,2,0,5,8,38.5
1,sedlalu01,2017-10-07,2,24-224,CBJ,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:01,3,0,1,2,33.3
0,alzneka01,2017-10-05,1,29-011,MTL,@,BUF,W,0,1,1,-1,0,0,0,0,0,0,0,1,2,0.0,30,21:28,1,0,0,0,
1,alzneka01,2017-10-07,2,29-013,MTL,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,18:17,0,0,0,0,
2,alzneka01,2017-10-08,3,29-014,MTL,@,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,20:35,3,0,0,0,
0,thornjo01,2017-10-04,1,38-094,SJS,,PHI,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,25,18:04,0,0,7,6,53.8
1,thornjo01,2017-10-07,2,38-097,SJS,,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,18:15,0,0,6,10,37.5
0,barzama01,2017-10-06,1,20-133,NYI,@,CBJ,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,22,15:02,0,0,3,6,33.3
1,barzama01,2017-10-07,2,20-134,NYI,,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,15:40,1,1,3,3,50.0
0,forslgu02,2017-10-05,1,21-115,CHI,,PIT,W,0,1,1,3,0,0,0,0,0,1,0,0,3,0.0,25,18:45,3,1,0,0,
1,forslgu02,2017-10-07,2,21-117,CHI,,CBJ,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,27,19:43,0,1,0,0,
0,hamildo01,2017-10-04,1,24-109,CGY,@,EDM,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,28,21:06,0,0,0,0,
1,hamildo01,2017-10-07,2,24-112,CGY,,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,27,21:33,1,1,0,0,
0,dubinbr01,2017-10-06,1,31-160,CBJ,,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,15:00,3,1,9,10,47.4
1,dubinbr01,2017-10-07,2,31-161,CBJ,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:45,3,1,11,9,55.0
0,kampfst01,2017-10-08,1,29-014,NYR,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,17:08,1,2,0,0,
0,voracja01,2017-10-04,1,28-050,PHI,@,SJS,W,0,3,3,1,0,0,0,0,0,1,2,0,2,0.0,23,17:15,0,0,0,0,
1,voracja01,2017-10-05,2,28-051,PHI,@,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,23,18:34,1,1,0,0,
